type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,112800,112800,99,0,0,0,0,0,0,0,0,0,0,0,111
Work,112900,112900,123,0,21,0,0,0,0,0,0,6,0,0,156
Work,113000,113000,162,0,57,9,0,0,0,0,0,54,0,0,294
Work,113100,113100,252,0,9,6,0,0,0,0,0,0,0,0,267
Work,113200,113200,138,0,6,6,0,0,0,0,0,6,0,0,162
Work,113300,113300,126,0,24,0,0,0,0,0,0,0,0,0,156
Work,113400,113400,192,0,18,9,0,0,0,0,0,6,0,0,225
Work,113500,113500,153,0,15,15,0,0,0,0,0,0,0,0,189
Work,113600,113600,111,0,12,9,0,0,0,0,0,0,0,0,135
Work,113800,113800,33,0,27,9,0,0,0,0,0,12,0,0,87
Work,113900,113900,99,0,12,6,0,0,0,0,0,6,0,0,126
Work,114000,114000,279,0,51,15,0,0,0,0,0,15,0,0,360
Work,114100,114100,183,0,18,12,0,0,0,0,0,6,0,0,222
Work,114200,114200,102,0,18,6,0,0,0,0,0,9,0,0,135
Work,114300,114300,30,0,0,0,0,0,0,0,0,0,0,0,30
Work,114400,114400,150,0,9,12,0,0,0,0,0,6,0,0,177
Work,114500,114500,102,0,12,12,0,0,0,0,0,0,0,0,135
Work,114600,114600,135,0,21,6,0,0,0,0,0,12,0,0,177
Work,114700,114700,189,0,15,6,0,0,0,0,0,0,0,0,216
Work,114800,114800,111,0,0,9,0,0,0,0,0,0,0,0,123
Work,114900,114900,249,0,93,27,9,0,0,0,0,24,0,0,405
Work,115000,115000,156,0,99,24,0,0,0,0,0,18,0,0,300
Work,115100,115100,129,0,27,9,0,0,0,0,0,12,0,0,177
Work,115200,115200,159,0,9,15,0,0,0,0,0,0,0,0,186
Work,115300,115300,120,0,0,0,0,0,0,0,0,0,0,0,132
Work,115400,115400,165,0,9,6,0,0,0,0,0,0,0,0,186
Work,115500,115500,279,0,21,9,0,0,0,0,0,0,0,0,318
Work,115600,115600,156,0,0,0,0,0,0,0,0,0,0,0,168
Work,115700,115700,174,0,21,12,0,0,0,0,0,6,0,0,219
Work,115800,115800,228,0,54,18,0,0,0,0,0,15,0,0,318
Work,115900,115900,189,0,30,12,0,0,0,0,0,15,0,0,246
Work,116000,116000,117,0,6,12,0,0,0,0,0,0,0,0,138
Work,116100,116100,213,0,27,15,0,0,0,0,0,9,0,0,273
Work,116200,116200,186,0,18,0,0,0,0,0,0,9,0,0,219
Work,116300,116300,105,0,0,0,0,0,0,0,0,0,0,0,114
Work,116400,116400,189,0,15,18,0,0,0,0,0,9,0,0,234
Work,116500,116500,108,0,0,0,0,0,0,0,0,0,0,0,117
